thscode,time,open,high,low,close,volume,market_cap,industry,index_name
399001.SZ,2023-11-29,9826.0148,9827.7395,9733.3195,9744.3927,387062917.01,,,深证成指
399001.SZ,2023-11-30,9728.3788,9768.9043,9677.7727,9726.9153,383679951.14,,,深证成指
399001.SZ,2023-12-01,9723.9269,9752.0207,9624.9184,9720.5715,417748048.85,,,深证成指
399001.SZ,2023-12-04,9715.4746,9736.1138,9660.4439,9660.4439,416813218.14,,,深证成指
399001.SZ,2023-12-05,9628.277,9628.277,9470.3604,9470.3604,403217088.8,,,深证成指
399001.SZ,2023-12-06,9451.1634,9599.5779,9446.8816,9533.2461,402669613.07,,,深证成指
399001.SZ,2023-12-07,9518.4489,9561.9755,9456.9773,9519.9076,393251788.23,,,深证成指
399001.SZ,2023-12-08,9531.0468,9592.9163,9500.8096,9553.9227,436426898.78,,,深证成指
399001.SZ,2023-12-11,9496.4641,9649.8687,9406.697,9632.6116,421472939.23,,,深证成指
399001.SZ,2023-12-12,9616.134,9648.9731,9593.3466,9625.2642,376206630.78,,,深证成指
399001.SZ,2023-12-13,9606.4829,9606.4829,9476.6234,9476.6234,367340979.89,,,深证成指
399001.SZ,2023-12-14,9527.419,9578.6022,9413.8102,9417.9717,366225612.19,,,深证成指
399001.SZ,2023-12-15,9449.8882,9507.4311,9368.471,9385.3332,359457507.38,,,深证成指
399001.SZ,2023-12-18,9346.9509,9376.6749,9258.9618,9279.3889,353528302.99,,,深证成指
399001.SZ,2023-12-19,9270.198,9331.9927,9225.0089,9289.3358,317948961.48,,,深证成指
399001.SZ,2023-12-20,9303.0851,9310.8597,9158.4374,9158.4374,324051149.02,,,深证成指
399001.SZ,2023-12-21,9122.4144,9286.0663,9106.1463,9257.0905,361685200.18,,,深证成指
399001.SZ,2023-12-22,9247.0748,9331.1213,9186.027,9221.3126,396024291.28,,,深证成指
399001.SZ,2023-12-25,9200.6482,9268.2655,9200.6482,9256.283,312079626.31,,,深证成指
399001.SZ,2023-12-26,9248.07,9248.4912,9124.8069,9157.2496,313615980.77,,,深证成指
399001.SZ,2023-12-27,9170.2552,9211.4192,9121.1668,9191.7415,328074139.12,,,深证成指
399001.SZ,2023-12-28,9182.8469,9476.8022,9166.5819,9441.0545,410934103.75,,,深证成指
399001.SZ,2023-12-29,9434.5805,9534.6765,9427.9155,9524.6895,394147518.48,,,深证成指
399001.SZ,2024-01-02,9527.1058,9527.1058,9401.3478,9401.3478,385969542.71,,,深证成指
399001.SZ,2024-01-03,9378.6864,9405.0901,9280.8161,9330.864,366813901.23,,,深证成指
399001.SZ,2024-01-04,9317.3999,9317.3999,9171.1287,9215.2456,330572264.62,,,深证成指
399001.SZ,2024-01-05,9205.3938,9275.229,9074.9283,9116.4423,365840004.31,,,深证成指
399001.SZ,2024-01-08,9095.7053,9119.1223,8947.7233,8947.7233,338193162.56,,,深证成指
399001.SZ,2024-01-09,8960.9726,9042.4469,8912.0289,8971.7185,349254805.4,,,深证成指
399001.SZ,2024-01-10,8938.4489,9035.1879,8857.9679,8922.7937,340941629.52,,,深证成指
399001.SZ,2024-01-11,8918.2309,9099.2233,8898.1951,9053.8831,379854422.52,,,深证成指
399001.SZ,2024-01-12,9026.7369,9095.607,8995.4142,8996.2556,372243759.35,,,深证成指
